qid,question,gold_answers,left_policy,right_policy,left_prediction,right_prediction,left_f1,right_f1,delta_f1,left_em,right_em,delta_em,left_docs,right_docs
techqa_DEV_Q019,"Help with Security Bulletin : Multiple vulnerabilities in IBM Java Runtime affect IIB and WMB (CVE-2015-0138) I need to understand details regarding Security Bulletin : Multiple vulnerabilities in IBM Java Runtime affect IBM Integration Bus and WebSphere Message Broker (CVE-2015-0138). This is also commonly referenced as “FREAK: Factoring Attack on RSA-EXPORT keys"" TLS/SSL client and server vulnerability. Where can I find this information? ","You can find the information regarding the Security Bulletin for multiple vulnerabilities in IBM Java Runtime affecting IBM Integration Bus and WebSphere Message Broker (CVE-2015-0138) on the IBM Secure Engineering Web Portal. You can also refer to the IBM Product Security Incident Response Blog for more details on this issue. Additionally, you may access the necessary fixes and remediation information from the provided links within the Security Bulletin.",ace_focused_160,chunk_packed_160,unknown,http://www-01.ibm.com/support/docview.wss?uid=swg21695474,0.0,0.0,0.0,0,0,0,techqa_DEV_Q019::ctx4 | techqa_DEV_Q019::ctx2,techqa_DEV_Q019::ctx1
techqa_DEV_Q020,ODR OOM issue I got ODR OOM after upgrading the WAS to v8553. No configuration or traffic load changing. Is there any known way to solve the problem? ,"Based on the provided context, there are no specific mentions of an ODR Out of Memory (OOM) issue directly related to upgrading WebSphere Application Server (WAS) to version 8.5.5. However, there are some recommendations and fixes provided for ODR-related issues in different versions of WebSphere products. 

To troubleshoot and potentially address the ODR OOM issue after upgrading to WAS v8553, you may consider the following general steps:
1. Check the release notes or known issues for WAS version 8.5.5 to see if there are any documented ODR-related issues or memory management updates.
2. Analyze memory usage on the server hosting the ODR to determine if it is indeed running out of memory.
3. Consider tuning the JVM memory settings for the ODR component to allocate more memory if needed.
4. Ensure that there are no memory leaks or inefficient processes causing the OOM error.
5. Contact IBM support for additional assistance or to inquire about any specific fixes or recommendations for ODR OOM issues related to the WAS v8553 upgrade.

Please note that addressing OOM issues can be complex and may require a detailed analysis of the system configuration and underlying causes of the problem.",ace_focused_160,chunk_packed_160,unknown,unknown,0.0,0.0,0.0,0,0,0,techqa_DEV_Q170::ctx1 | techqa_DEV_Q308::ctx2,techqa_DEV_Q020::ctx2 | techqa_DEV_Q170::ctx1 | techqa_DEV_Q013::ctx2
techqa_DEV_Q021,"How to refresh a DataPower WebService Proxy which WSDL got changed? I have made changes to a WSDL stored in DP local filesystem.

How can I make the WSP reflect this change since DataPower Gateway 7.1.0 WebService Proxy WebGUI doesn't offer the ""Refresh"" button anymore?

Is there a best practice to refresh the WSP if I modified my WSDL?","To refresh a DataPower Web Service Proxy (WSP) when the WSDL has changed in the local filesystem, you can follow these steps:

1. Disable the WSP service that uses the outdated WSDL.
2. Re-enable the WSP service, which will force DataPower to re-read the configuration and include the changes from the modified WSDL.

Since the WebGUI in DataPower Gateway 7.1.0 no longer offers a ""Refresh"" button for the WSP, disabling and re-enabling the service is the recommended practice to ensure that the changes in the WSDL are reflected in the WSP configuration.

By following these steps, you can effectively refresh a DataPower WSP when the underlying WSDL has been modified.",ace_focused_160,chunk_packed_160,Disable and re-enable the service,Run the command line tool to refresh the WSDL cache,0.084211,0.060606,0.023604,0,0,0,techqa_DEV_Q021::ctx1 | techqa_DEV_Q149::ctx3,techqa_DEV_Q021::ctx2 | techqa_DEV_Q021::ctx1
techqa_DEV_Q022,"where is the websphere application server 9.0.0.4 fix for developers I am using the was 9.0.0.0 in rad/rsa 9.6.1 for Windows. I cannot upgrade to the 9.0.0.4 fixpack, because there is no developer edition. On the downloadpage there are Base, Network Deployment, DMZ Secure Proxy Server and IBM Web Enablement for IBM i, but no Developers! See link text For was 8.5.5.10 there exists a developers edition. Where can I download the Websphere Application Server fix pack 9.0.0.4 Developers?","The WebSphere Application Server fix pack 9.0.0.4 Developers edition is not available for download. The fix pack provided in the context is specifically for the Edge Caching Proxy component of WebSphere Application Server and does not include a separate edition for developers. The available editions listed are Base, Network Deployment, DMZ Secure Proxy Server, and IBM Web Enablement for IBM i. If you are using RAD/RSA 9.6.1 with WAS 9.0.0.0, you may not be able to upgrade to the 9.0.0.4 fix pack specifically for developers.",ace_focused_160,chunk_packed_160,unknown,unknown,0.0,0.0,0.0,0,0,0,techqa_DEV_Q277::ctx3,techqa_DEV_Q150::ctx0
techqa_DEV_Q029,Recurrent RES StaleConnectionException How to prevent rule execution failing because of recurrent StaleConnectionException on ODM 8.8 Rule Execution Server? ,"To prevent rule execution failing because of recurrent StaleConnectionException on ODM 8.8 Rule Execution Server, you can follow these steps:

1. Configure the WebSphere Application Server data source connection pool to eliminate occurrences of StaleConnectionException by setting the Minimum connections to 0 to avoid situations where a connection is kept in the pool to meet the minimum requirement, even though it may have been idle for longer than Unused timeout.

2. Set the values for Unused timeout and Reap timeout so that the sum does not exceed any network level idle connection timeout.

3. Check for any firewall policies between the Application Server and the Database that may discard network connections that remain idle for some time.

4. Refer to the document Troubleshooting stale connection problems for further information on resolving StaleConnectionException issues.

By following these steps, you can address and prevent recurrent StaleConnectionException errors on ODM 8.8 Rule Execution Server.",ace_focused_160,chunk_packed_160,Increase connection timeout,Configure the WebSphere Application Server data source connection pool,0.027778,0.107383,-0.079605,0,0,0,techqa_DEV_Q029::ctx3 | techqa_DEV_Q029::ctx1,techqa_DEV_Q029::ctx3 | techqa_DEV_Q111::ctx0
techqa_DEV_Q030,For HP-UX how to write verbose gc output to a log file other than the native_stdout? A customer asked why no gc logs generated even if they use the -Xverbosegc option. So How can I write verbose gc output to a log file other than the native_stdout for HP-UX? ,"To write verbose gc output to a log file other than the native_stdout for HP-UX, you would need to add the following parameters to the generic JVM arguments:

-XX:+PrintGCDetails 
-XX:+PrintGCDateStamps 
-XX:+PrintHeapAtGC 
-Xverbosegc:file=/tmp/gc_pid$$.vgc 

Additionally, to enable log file rotation, you should include the following parameters:
-XX:+UseGCLogFileRotation
-XX:NumberOfGCLogFiles=10
-XX:GCLogFileSize=10M 

These settings will allow you to write verbose gc output to a log file other than native_stdout on HP-UX and generate gc logs as needed.",ace_focused_160,chunk_packed_160,unknown,By default,0.0,0.0,0.0,0,0,0,techqa_DEV_Q030::ctx1 | techqa_DEV_Q030::ctx3 | techqa_DEV_Q030::ctx2,techqa_DEV_Q030::ctx4 | techqa_DEV_Q030::ctx1 | techqa_DEV_Q106::ctx1
techqa_DEV_Q032,IBM Content Navigator v2.0.3 is adding a .dat extension to a CSV file during Download action on a document. IBM Content Navigator v2.0.3 is adding a .dat extension to a CSV file during Download action on a document. Why is this the case?,"The reason the IBM Content Navigator v2.0.3 is adding a .dat extension to a CSV file during the download action on a document is that if the mime type of the document as shown in system properties in ICN is not text/csv, then Navigator cannot recognize the document properly, resulting in adding the .dat extension during download. The correct mime type for a CSV file should be text/csv.",ace_focused_160,chunk_packed_160,Mismatched MIME type,Unsupported MIME type conversion,0.067797,0.066667,0.00113,0,0,0,techqa_DEV_Q032::ctx4 | techqa_DEV_Q032::ctx0,techqa_DEV_Q032::ctx4 | techqa_DEV_Q032::ctx0 | techqa_DEV_Q172::ctx2
techqa_DEV_Q033,Limitations of sylog-TCP log target using DataPower Gateways I am trying to configure a log target using type syslog-TCP. It seems that the payload is getting truncated when I try to record custom logs to it using log-action. Why is this? How can I workaround it. ,"The limitation of the syslog-TCP log target when using DataPower Gateways is that the payload can get truncated. This truncation can occur when trying to record custom logs using a log-action. 

One workaround to this limitation is to ensure that the payload being sent to the syslog-TCP log target is within an acceptable length that will not lead to truncation. Additionally, considering using other log target options such as file type log targets with a backup method to ensure that all log events are captured without truncation.",ace_focused_160,chunk_packed_160,Payload size limitation,unknown,0.04878,0.0,0.04878,0,0,0,techqa_DEV_Q100::ctx2 | techqa_DEV_Q033::ctx2 | techqa_DEV_Q033::ctx1,techqa_DEV_Q304::ctx4 | techqa_DEV_Q149::ctx3
techqa_DEV_Q035,Help with Security Bulletin: API Connect is affected by a Node.js denial of service vulnerability (CVE-2017-14919) I need to understand details regarding Security Bulletin: API Connect is affected by a Node.js denial of service vulnerability (CVE-2017-14919). Where can I find this information? ,"You can find detailed information regarding the security bulletin for API Connect being affected by the Node.js denial of service vulnerability (CVE-2017-14919) in the provided context above. Specifically, under the ""VULNERABILITY DETAILS"" section of the bulletin, the description, CVSS Base Score, and relevant links for the current score are provided. Additionally, under the ""REMEDIATION/FIXES"" section, you can find information on how to address and fix the vulnerability in the affected products.",ace_focused_160,chunk_packed_160,unknown,unknown,0.0,0.0,0.0,0,0,0,techqa_DEV_Q035::ctx3 | techqa_DEV_Q035::ctx4,techqa_DEV_Q035::ctx4 | techqa_DEV_Q035::ctx3
techqa_DEV_Q036,"Port number error starting 9.0 Launcher 

I'm attempting to start up v9.0 for the first time with one .msl file on a Windows server and get the following error.  I also have v8.4 on this server and it starts fine.  I do not have v8.4 running when I attempt to start v9.0.

Cannot recognize if the system RecordChangeSystem.msl; has started. Reason: Server is unable to get the status of the system on port number 6,002.

I have the port range set to 7000/8000.  Why am I seeing this?  ","Based on the information provided, the issue you are facing with starting the WebSphere Application Server V9.0 Launcher seems to be related to a port conflict or unavailability of the port number 6,002.

Here are some steps you can take to troubleshoot and resolve this issue:

1. **Check for Conflicting Processes**: Ensure that no other process is currently using the port 6,002. You can use a tool like ""netstat"" to check which processes are using this port.

2. **Check WebSphere Application Server Port Configurations**:
   - Verify the port range settings in the WebSphere Application Server V9.0 configuration. Ensure that the starting port number (7000) and the ending port number (8000) do not overlap with any other running applications or services on the system.
   - If the port range is conflicting with other applications, try changing the port range to a different set of available ports.

3. **Disable Firewall or Check Firewall Settings**: Ensure that the firewall is not blocking access to the port 6,002 or the configured port range. You can try temporarily disabling the firewall to see if that resolves the issue.

4. **Check for Any Existing WebSphere Application Server Instances**:
   - Ensure that there are no other instances of WebSphere Application Server V8.4 or V9.0 running on the system. If there are any, stop them and then try starting the V9.0 Launcher again.
   - If you have multiple WebSphere Application Server instances on the same system, make sure they are using different port ranges to avoid conflicts.

5. **Clear Cached Information**:
   - Try clearing any cached information or temporary files related to the WebSphere Application Server V9.0 installation.
   - On Windows, you can try deleting the contents of the ""%TEMP%"" directory and the ""%USERPROFILE%\.was"" directory.

6. **Reinstall or Repair WebSphere Application Server V9.0**:
   - As a last resort, you can try reinstalling or repairing the WebSphere Application Server V9.0 installation to ensure that all the necessary components are properly configured.

If the issue persists even after trying the above steps, you may want to contact IBM support for further assistance in troubleshooting the problem.",ace_focused_160,chunk_packed_160,6002,unknown,0.006515,0.0,0.006515,0,0,0,techqa_DEV_Q036::ctx0 | techqa_DEV_Q036::ctx4,techqa_DEV_Q210::ctx1 | techqa_DEV_Q036::ctx3
techqa_DEV_Q037,"Help with Action required for IIB H.E.V9 and WMB H.E. V8 for security vulnerabilities in Red Hat Linux 

I need to understand details regarding Action required for IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 for security vulnerabilities in Red Hat Linux.

Where can I find this information?","Based on the information provided in the context, you can find the details regarding the action required for IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 for security vulnerabilities in Red Hat Linux in the following sections:

1. FLASH (ALERT) section:
   - This section mentions that IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0 ship with versions of Red Hat Enterprise Linux (RHEL) Server that are vulnerable to several CVEs.
   - The remediation action recommended is that IBM strongly recommends you contact Red Hat to obtain and install fixes for Red Hat Enterprise Linux (RHEL) Server 6.2, as applicable.

2. Cross reference information section:
   - This section confirms that the affected products are IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0, running on the Linux platform.

In summary, the key actions required are:

1. Contact Red Hat to obtain and install the necessary fixes for the vulnerabilities in the Red Hat Enterprise Linux (RHEL) Server versions that are shipped with IBM Integration Bus Hypervisor Edition V9.0 and WebSphere Message Broker Hypervisor Edition V8.0.
2. Apply the fixes to your systems running these IBM products to address the security vulnerabilities.",ace_focused_160,chunk_packed_160,Contact Red Hat for fixes,Contact Red Hat for fixes,0.052083,0.052083,0.0,0,0,0,techqa_DEV_Q037::ctx3,techqa_DEV_Q037::ctx3
techqa_DEV_Q039,"How do I upgrade my virtual DataPower Appliance from 5.0 firmware to 6.0+ firmware? When attempting to upgrade my Virtual DataPower Appliance from 5.0.0.8 firmware version to 6.0+ firmware versions, I receive a failure message. ","To upgrade your virtual DataPower Appliance from 5.0 firmware to 6.0+ firmware, follow these steps:

1. If your virtual deployment is at the 5.0.0.8 firmware level, you must first upgrade to 5.0.0.8 or later fix pack before upgrading to 6.0.0.0 or later. The 5.0.0.8 fix pack contains critical fixes necessary for the upgrade.

2. Make sure that you have upgraded to the 5.0.0.8 fix pack or later before attempting to upgrade to 6.0.0.0 or later. 

3. Refer to the Critical Updates document for IBM WebSphere DataPower SOA appliances for guidance when migrating to a later firmware level.

4. Once you have upgraded to the required firmware level, you can proceed with upgrading to 6.0.0.0 or later. 

If you are experiencing failure messages during the upgrade process, refer to the troubleshooting steps provided in the context above. Additionally, you can reach out to DataPower Support for further assistance.",ace_focused_160,chunk_packed_160,unknown,DOWNLOAD PACKAGE,0.0,0.0,0.0,0,0,0,techqa_DEV_Q168::ctx4 | techqa_DEV_Q039::ctx2,techqa_DEV_Q135::ctx4
techqa_DEV_Q042,"Why is my Portal 8.5 install saying it cannot detect WAS? When I try to install WebSphere PortaV8.5, I am getting the message

The required version 8.5.5 or later of WebSphere Application Server has not been detected on this system. Select the WebSphere Application Server Package to install WebSphere Application Server and WebSphere Portal.

The required IBM WebSphere SDK Java Technology Edition version 7.0 or later is not detected on this system. Select the IBM WebSphere SDK Java Technology Edition package to install it.","Based on the provided context, it seems like the issue you are experiencing with the WebSphere Portal 8.5 installation is due to the fact that the required version of WebSphere Application Server and IBM WebSphere SDK Java Technology Edition are not detected on your system. 

To address this issue, you need to ensure that you have the following versions installed:

1. WebSphere Application Server version 8.5.5 or later
2. IBM WebSphere SDK Java Technology Edition version 7.0 or later

If these versions are not installed on your system, you will need to install them before proceeding with the installation of WebSphere Portal 8.5. Once the required versions are installed, you should no longer encounter the error message indicating that they have not been detected on your system.",ace_focused_160,chunk_packed_160,Missing WAS version,unknown,0.016529,0.0,0.016529,0,0,0,techqa_DEV_Q014::ctx1 | techqa_DEV_Q042::ctx2 | techqa_DEV_Q277::ctx4,techqa_DEV_Q280::ctx0 | techqa_DEV_Q042::ctx3
